Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,7.544385897781467
FDW14,OUT017,6.7227842560139415
NCN55,OUT010,6.833898516366163
FDQ58,OUT017,7.2968793294164325
FDY38,OUT027,8.776476715128318
FDH56,OUT046,7.190670811474031
FDL48,OUT018,7.132972441342902
FDC48,OUT027,7.626590511077987
FDN33,OUT045,6.833115800171124
FDA36,OUT017,7.578327838628478
FDT44,OUT017,6.827555397907174
FDQ56,OUT045,6.74245778889302
NCC54,OUT019,6.97109919064082
FDU11,OUT049,7.589688380130509
DRL59,OUT013,6.354815460341017
FDM24,OUT049,7.877008404071794
FDI57,OUT045,7.7184595665156825
DRC12,OUT018,8.36000395280738
NCM42,OUT027,7.862802891852411
FDA46,OUT010,6.278336851126567
FDA31,OUT013,7.278712128658673
NCJ31,OUT035,7.8770270522337515
FDG52,OUT046,6.56904138105333
NCL19,OUT019,6.369959722438981
FDS10,OUT035,7.589891577270033
FDX22,OUT010,6.697115457135171
NCF19,OUT035,6.518024928932603
NCE06,OUT046,7.517918774378425
DRC27,OUT046,8.21675109035476
FDE21,OUT035,7.0947752383524145
NCR42,OUT019,5.393158936325763
FDX51,OUT018,8.462955397241283
NCR06,OUT018,7.193340695205816
FDU31,OUT027,8.779399218827278
FDU59,OUT017,7.255074195892043
FDR03,OUT027,8.699019396648122
FDS49,OUT027,7.527284220923087
FDD48,OUT010,5.8420486782322
NCF18,OUT017,7.471803657140393
NCD43,OUT027,7.828684475690274
NCD54,OUT018,7.970542732808516
FDY19,OUT010,5.805312383349975
NCY54,OUT017,7.221223560051493
NCL19,OUT018,8.022614596424376
FDP23,OUT010,6.69948769225773
FDC26,OUT013,6.72082473488145
FDR14,OUT010,4.995922226782288
NCS41,OUT035,7.619240904631086
FDF41,OUT035,8.030054906131925
FDU34,OUT046,7.1824114127043766
DRH11,OUT046,6.657565834034413
FDM03,OUT013,6.673092838333033
FDS31,OUT017,7.477246202763835
FDJ20,OUT017,6.879443681384495
FDV44,OUT027,8.51593953130375
FDG02,OUT049,8.254074026687096
FDA09,OUT013,7.391823003812802
FDT04,OUT013,6.11219176914649
FDL58,OUT019,7.236957128842316
FDE52,OUT045,6.910137529205042
FDW12,OUT035,7.353813463493571
FDL51,OUT017,7.728488785942862
NCY42,OUT027,8.145572067119813
FDR07,OUT017,6.670102892390751
FDN40,OUT045,7.333023265466524
FDB35,OUT027,7.663086977204297
FDA22,OUT017,7.282945210852504
NCL06,OUT046,8.358225218855754
FDI35,OUT013,7.411244169269857
NCW42,OUT045,7.921924143716687
NCX06,OUT049,8.157816427022066
FDC37,OUT027,7.8270389490818255
FDZ14,OUT018,7.826202732052297
DRG49,OUT049,8.641122549260523
NCG06,OUT045,8.25943547985056
DRC36,OUT045,7.574859032822962
FDV21,OUT019,5.804883954646979
FDB53,OUT046,7.299244286682846
DRP47,OUT019,6.943491722204952
FDA14,OUT013,7.0663538866530455
DRC24,OUT035,7.376314592547892
FDW21,OUT018,7.717404340958472
NCH29,OUT046,7.07131296878652
FDU58,OUT013,7.544432186997414
FDY27,OUT017,7.46145726917
FDV56,OUT035,7.062772517110306
FDT59,OUT046,8.162815663580862
FDB23,OUT046,8.148294224119127
FDR49,OUT045,6.358877477332619
FDB03,OUT010,6.596918444273503
FDN39,OUT045,7.456588454827977
FDX02,OUT027,8.747901963519997
FDQ16,OUT027,7.811495762022586
FDU35,OUT018,7.563751553601522
NCT29,OUT013,6.903899061148694
FDZ27,OUT046,6.66375634835899
FDN57,OUT017,7.0798236885776
FDA03,OUT018,7.985935726707606
FDZ36,OUT045,7.665462136324647
NCU05,OUT013,6.573808473708452
FDT39,OUT018,8.12786344188331
FDK60,OUT017,6.693027789484527
FDZ25,OUT017,7.3949257249853835
FDG12,OUT046,7.3271742837511535
DRB01,OUT019,6.590652524892745
NCC43,OUT027,8.939188530900976
FDX13,OUT019,7.1535930219618775
FDM22,OUT049,7.08869140482397
FDJ03,OUT027,7.304256335386307
FDU14,OUT018,8.796522717749879
FDB33,OUT010,6.231331379841471
FDP27,OUT046,7.697044294443077
FDO38,OUT010,5.402555185521448
FDE28,OUT027,8.738858421317852
FDO27,OUT035,6.737876982074844
DRL23,OUT027,7.844593168495065
FDS28,OUT046,6.65941897011455
FDX24,OUT013,6.730498595781902
FDZ02,OUT035,6.952410149361804
FDL46,OUT045,7.0363598769395965
FDS60,OUT027,8.414583558102134
NCO06,OUT017,6.117102353364035
FDO16,OUT035,6.865638133516799
FDC60,OUT049,7.2923685552774415
FDA48,OUT018,8.495148067967701
FDZ36,OUT027,8.456950854685497
FDK27,OUT045,7.165907454316924
FDW23,OUT018,7.057247797193199
FDM14,OUT018,7.726352063015158
FDM14,OUT013,6.843943401147961
FDW60,OUT018,8.34005874134947
FDE21,OUT013,6.901896450361552
NCM42,OUT035,7.065342208854297
FDY59,OUT010,5.679499427094404
DRI49,OUT049,7.0832115889676475
FDT28,OUT019,6.3032972809614005
FDQ22,OUT018,7.10690162129373
FDR60,OUT049,7.120036045356269
FDC50,OUT019,5.642346338593317
FDV24,OUT013,7.099619390171564
DRF48,OUT010,6.455763128767685
FDQ47,OUT046,6.3732826920200045
DRN36,OUT049,7.411983861586093
NCY06,OUT035,7.145131459672663
FDE52,OUT035,6.896119412319689
NCB54,OUT045,7.178708247701045
NCF31,OUT035,7.379480420856124
FDJ08,OUT027,8.391415860162324
NCC07,OUT017,6.849286773190919
NCD19,OUT027,7.4201041893302735
FDL46,OUT049,7.551370355922543
FDM20,OUT045,8.168215252733386
NCI06,OUT010,6.36438437944256
DRM11,OUT035,8.238686601541506
NCH07,OUT018,8.027798616394398
FDS23,OUT013,6.861724930946709
FDO49,OUT018,7.228348654833859
FDS35,OUT049,7.072289211987928
DRK39,OUT045,6.799298060792552
DRI39,OUT049,7.019891445982212
FDV04,OUT017,7.145185123387307
NCN14,OUT035,7.535452310088447
FDH08,OUT013,7.881588839645578
FDS20,OUT046,7.728199403610833
FDV40,OUT049,7.273842691733568
FDZ48,OUT010,5.6740724543956995
FDS24,OUT027,7.640276071400799
FDK44,OUT049,7.939260751839813
FDS48,OUT045,7.313231564015289
FDK26,OUT010,6.489096449616126
FDD23,OUT045,7.705867066168475
NCH54,OUT017,7.257751525650868
NCP14,OUT010,5.60379901986088
FDM60,OUT010,5.2038074556108675
FDV24,OUT017,7.137363915098778
FDH08,OUT018,8.729037695122274
FDS12,OUT027,7.779389116763658
FDR39,OUT027,8.355858979576277
FDP12,OUT027,7.240734779605686
DRF60,OUT027,8.867271914760419
FDC09,OUT035,6.994109623234254
FDF50,OUT018,8.33657292775197
FDG28,OUT035,8.154965835798288
NCE19,OUT017,6.361155520323819
NCM53,OUT010,5.727327004200529
NCN18,OUT049,7.537948629251707
FDF32,OUT035,7.702387779955179
FDF11,OUT013,7.971739302282465
DRI59,OUT049,8.507103733753086
NCG54,OUT035,7.468370392288056
FDM44,OUT046,7.0708964529983565
FDT57,OUT018,8.763559904004268
FDV24,OUT046,7.399746520806941
FDI50,OUT019,7.053411807433181
FDS09,OUT035,6.5077318682235035
NCC31,OUT027,8.248789914241877
FDQ07,OUT019,6.833380621122505
FDC22,OUT017,7.451764414728709
FDZ56,OUT046,7.631156538139397
FDZ40,OUT019,5.554734558769566
FDS46,OUT027,7.9212856384245125
DRD24,OUT045,7.289540486932371
FDV45,OUT017,7.504030545154927
FDL26,OUT045,7.33700345986585
FDA56,OUT018,7.856664352103001
FDN27,OUT046,7.1701575065633385
FDM20,OUT049,8.673793281771205
FDO16,OUT017,6.701368533986695
FDL03,OUT035,7.753379057883408
FDE58,OUT046,7.150368729367591
FDI02,OUT027,7.768425788743146
NCC55,OUT019,5.383743719788679
FDR03,OUT018,8.552061825089758
FDB14,OUT017,6.629365538827094
FDR45,OUT013,7.936271737713391
NCN07,OUT017,7.037466328103452
FDM51,OUT019,6.023267049392375
FDT52,OUT027,8.971860280687078
FDL26,OUT046,7.428798786663213
NCZ42,OUT046,8.266293567321211
DRI47,OUT019,6.367166370261491
FDW40,OUT013,7.0094022222023
FDN34,OUT046,7.602489312877861
FDS01,OUT035,7.620152356762814
NCG55,OUT045,7.080594957433505
FDC11,OUT035,6.651053938028387
FDX35,OUT018,8.651545190651904
